filantropis	philantrophical.
filateli	philately.
filatelis	philatelist.
filem	see film.
filial	branch (of a firm, etc.).
filing	(coll.) 1 feeling, intuition. 2 lottery hunch.
filipin,filipina,filipinas	the philippines.
fill	1 behavior, deeds. 2 (lit.) verb.
film	1 film for camera. 2 film, movie.
filolog	philologist.
filologi	philology.
filologis	philological.
filosofi	philosophy.
filosofis	philosophical.
filsafah,filsafat	philosophy,ideology. 2 philosophical system. 3 (coll.) mysticism.
filsafati	philosophical.
filsuf	philosopher.
filum	(biol.) phylum.
filusuf	see filsuf.
final	(sport) finals.
finalis	finalist.
finansial,finansiil	financial.
finansir	financier.
fineer,finir	veneer.
finlandia	finland.
fipa,fippa	[fakultas ilmu pasti dan (pengetahuan) alam] school of mathematics and physical sciences.
fipia	[fakultas ilmu pasti dan alam] school of mathematics and physics.
fiqh,fiqih	(islam) study of laws pertaining to ritual obligations.
firaon	(fir'aon) see firaun.
firasat	1reading of s.o.'s character (by palmistry, physiognomy, etc.). 2 ability to prophesy the future. 3 presentiment, hunc, foreboding.
firaun	(fir'aun) 1pharaoh. 2 tyrant.
firdaus	paradise.
