multifarious	ks. bermacam-ragam.
night	kb. malam. at n. pada malam hari, pada waktu malam. n. blindness buta ayam. n. clothes pakaian tidur. n. watch jaga malam. n. watchman (pen)jaga malam.
nightcap	kb. pici tidur. 2 inf.: minuman keras diminum sebelum tidur.
nightfall	kb. senjakala, waktu matahari terbenam.
nightgown	kb. gaun/baju tidur.
nighthawk	kb. inf.: orang yang tidur pada siang hari dan bekerja pada waktu malam.
nightie	kb.: pakaian tidur wanita atau anak-anak.
nightingale	kb. (burung) bulbul.
nightlong	ks. yang berlangsung sepanjang malam.
nightly	ks. tiap malam.
nightmare	kb. mimpi buruk, khayal yang mengganggu orang tidur. 2 penngalaman yang mengerikan.
nightmarish	ks. seperti mimpi buruk, mengerikan.
nightshirt	kb. baju tidur laki-laki.
nightstick	kb. tongkat polisi.
nightwear	kb. pakaian tidur.
nil	kb. nol, tiada artinya.
nimble	ks. cepat, cekatan, gesit. he has a n. mind pikirannya cepat. -nimbly kk. dengan genitnya.
nincompoop	kb. orang tolol.
nine	nine
nineteen	kb. sembilan belas.
nineteenth	ks. kesembilan belas.
ninetieth	ks. kesembilan puluh.
ninety	kb. (j. -ties) sembilan puluh. she's in her nities umurnya sembilan puluhan.
ninth	kb. persembilan. a n. sepersembilan. -ks. kesembilan.
nip	kb. 1 (bite) igigit. 2 sedikit minuman keras. -kkt. (nipped) 1 menggigit. 2 merusak (flowers). to n. off menggentas (flower, branch).
nipple	kb. 1 puting susu. 2 pentil, dot (of bottle).
nippy	ks. dingin.
nitpicking	kb. inf.: banyak rewel.
nitrate	kb. nitrat, garam asam sendawa.
nitric	ks. n. acid asam sendawa.
nitrogen	kb. zat lemas, nitrogen.
nitroglycerin	kb. nitrogliserin.
nitty-gritty	kb. sl.: kebenaran yang baru. 2 intisari.
nitwit	kb. inf.: orang dungu.
nix	kb. sl.: tidak apa-apa.
no	kb. jawaban tidak. -ks. 1 tidak. 2 bukan. -kk. tidak, enggak. -kg. no one tak seorangpun. inf.: no-account, no-good ks. tak berguna. sl.: no-no kb. tabu. no-nonsense ks. sungguh-sungguh, serius. no-trump kb., ks. san, tanpa kartu truf.
no.	[number] nomor.
nobility	kb. (j. -ties) kaum ningrat/bangsawan.
noble	kb. orang bangsawan. ks. 1 mulia. n. dead perbuatan yang mulia. 2 ningrat. of n. birth keturunan ningrat. -nobly kk. mulia, tinggi budi.
nobleman	kb. (j. -men) orang bangsawan.
nobody	kb. (j. -dies) seorang yang tak berarti. i knew him when he was n. saya kenal dia waktu waktu ia belum jadi apa-apa. -kg. tak seorangpun.
noctural	ks. pada malam hari.
