jentik	jentik-jentik mosquito larva.
kaisaryah	1 imperial. 2 (med.) caesarean.
kait	1 hook, barb. 2 catch.
kaiwan	(astr.) saturn.
kajanah	see khazanah.
kajang	movable sunshade of bamboo laths, wickerwork or palm thatch.
kajat	see hajat.
kaji	1. knowledge, teaching (esp. religious). meng-kaji recite koranic verses. 2. mengk-kaji inspect, examine, investigate.
kak	1. k.o. glue used in bookbinding. 2. see kakak 1.
kakah	ber-kakah burst out laughing.
kakak	1. 1) older sibling or cousin. 2) term of address or reference (esp. as kak) for a person somewhat older than the epeaker. 3) term of address to o.'s husband (in some areas). 2. boisterous laughter.
kakaktua	see kakatua.
kakanda	(lit.) elder brother or sister (esp. in letters).
kakang	(java) elder brother.
kakao	cocoa.
kakap	1. 1) name given to many k.o. large fish. 2) big-time criminal, gangster. 3) large-scale (firm, operation). 2. meng-kakap patrol, scout. 3. meng-kakap 1) hold, grasp. 2) work a wet rice-field.
kakas	meng-kakas scratch, scrape.
kakatua	1 cockatoo. 2 pincers, pliers with pincer shape (like the beak of a cockatoo). 3 k.o. fish.
kakawin	k.o. old java poetry.
kakeas	doubletime, quicktime in marching, jogging.
kakek	1 grandfather or grand-uncle. 2 term of address for an old man. kakek-moyang ancestor.
kaken-kaken	kaken-kaken-ninen-ninen grow as old as grandparents.
kakerlak	(coll.) 1 cockroach. 2 s.o. as vile as a cockroach.
kaki	1. 1) foot, leg. 2) foot (measurement). 3) classifier for flowers or umbrellas. 4) edge of an area. 2. see kakek. 3. see khaki.
kakok	(m) hold.
kaktus	cactus.
kaku	1 stiff, rigid. 2 clumsy, awkward, ungainly.
kakung	(honorific, java) male.
kakus	((coll.) privy, latrine.
kala	1. 1) time, era, period, age. 2) (ling.) tense. 2. 1) scorpion. kala-lipan centipede. 2) (zod.) scorpio. 3. mare.
kala-kala	(naut.) sea anchor.
kalah	1 defeated. 2 lose. 3 inferior to.
kalai	1. meng-kalai 1) lie down. 2) lean. 2. meng-kalai rub, polish s.t. tarnished.
kalajengking	scorpion.
kalak	(math.) 1 reciprocal. 2 inverse.
kalakat	bamboo basket for moist cookies.
kalam	1. 1) pen made from a leaf rib. 2) (lit.) writing instrument. 2. word, saying. 3. see kalem.
kalang	transverse support, prop.
kalang-kabut	confused, chaotic.
kalangan	1 circle, arena. 2 realm. 3 circle.
kalap	1 possessed by an evil spirit. 2 be beside o.s. with anger.
kalas	1 thole-strap for an oar. 2 band around the hilt of a machete.
kalau	1 if. 2 when (future). 3 as for..., in the case of... 4 (coll.) whether (introducing an indirect question). 5 (coll.) that (introducing an indirect statement).
kalawarta	1 magazine, periodical. 2 bulletin.
kalbar	[kalimantan barat] west kalimantan.
kalbu	1 heart. 2 mind.
kaldera	caldera (of a volcano).
kaldron	cauldron.
kaldu	broth, stock (for soup).
kalelep	(java) 1 be submerged, lowered. 2 drowned.
kalem	calm, cool, patient, relaxed.
kalender	calendar.
kaleng	1 tin can. 2 tin. 3 tin plate.
kalerek	see kelerak.
kalesa	source of animal protein.
kali	1. river. 2. 1) time, times. 2) (math.) times. 3) fold (suffix). 3. (jkt) probably. 4. (jkt) very.
kalian	(pl.) you (form of address to equals, younger persons or persons of lower status).
kaliber	1 caliber (of gun). 2 importance, class.
kalibut	chaos.
kalifah	1 caliph. 2 caliphate.
kaligrafi	calligraphy.
kalimah	see syahadat.
kalimantan	borneo. kalimantan-utara sarawak and sabah.
kalimantang	1 pennant. 2 white beam of light.
